Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2019-02-24 23:56:00;2019-02-25 06:48:05;61%;6:52;;;0;52
2019-02-26 00:19:04;2019-02-26 07:12:52;63%;6:53;;;0;13724
2019-02-26 22:51:31;2019-02-27 06:43:20;71%;7:51;;;0;12220
2019-02-27 23:02:28;2019-02-28 06:52:55;69%;7:50;;;0;11334
2019-02-28 23:11:58;2019-03-01 06:53:18;61%;7:41;;;0;11297
2019-03-01 23:13:37;2019-03-02 07:47:45;70%;8:34;;;0;1329
2019-03-03 00:11:13;2019-03-03 07:23:22;64%;7:12;;;0;4716
2019-03-03 23:27:19;2019-03-04 06:34:28;78%;7:07;;;0;1229
2019-03-04 23:16:22;2019-03-05 06:47:46;82%;7:31;;;0;10120
2019-03-06 00:12:54;2019-03-06 06:54:15;62%;6:41;;;0;13155
2019-03-07 00:09:18;2019-03-07 07:07:10;67%;6:57;;;0;9356
2019-03-07 22:55:39;2019-03-08 06:52:14;74%;7:56;;;0;9061
2019-03-08 23:24:19;2019-03-09 07:57:50;63%;8:33;;;0;11986
2019-03-09 22:48:05;2019-03-10 07:29:54;67%;8:41;;;0;1258
2019-03-10 23:09:07;2019-03-11 07:04:30;76%;7:55;;;0;94
2019-03-13 01:06:21;2019-03-13 07:49:50;70%;6:43;;;0;327
2019-03-14 00:37:11;2019-03-14 07:20:44;67%;6:43;;;0;138
2019-03-14 22:37:39;2019-03-15 06:39:38;73%;8:01;;;0;10732
2019-03-16 01:25:37;2019-03-16 07:53:38;65%;6:28;;;0;71
2019-03-17 00:20:53;2019-03-17 07:37:23;86%;7:16;;;0;88
2019-03-17 07:37:35;2019-03-17 08:27:37;11%;0:50;;;0;0
2019-03-17 23:59:47;2019-03-18 07:09:42;75%;7:09;;;0;1158
2019-03-18 23:17:25;2019-03-19 06:30:02;76%;7:12;;;0;10999
2019-03-19 22:30:20;2019-03-20 06:58:38;90%;8:28;;;0;12496
2019-03-20 23:13:33;2019-03-21 06:15:04;76%;7:01;;;0;11012
2019-03-22 00:26:20;2019-03-22 07:42:18;52%;7:15;;;0;8749
2019-03-22 23:50:09;2019-03-23 07:08:58;52%;7:18;;;0;7302
2019-03-24 23:28:52;2019-03-25 06:29:01;50%;7:00;;;0;2462
2019-03-25 21:21:30;2019-03-26 06:08:20;84%;8:46;;;0;3558
2019-03-26 22:29:01;2019-03-27 05:33:19;75%;7:04;;;0;10325
2019-03-27 22:49:11;2019-03-28 06:48:41;85%;7:59;;;0;10363
2019-03-28 21:40:39;2019-03-29 06:57:41;94%;9:17;;;0;11259
2019-03-29 22:50:26;2019-03-30 06:54:33;75%;8:04;;;0;10702
2019-03-30 23:25:53;2019-03-31 06:59:45;69%;6:33;;;0;11103
2019-03-31 22:55:22;2019-04-01 06:44:57;78%;7:49;;;0;1129
2019-04-01 22:52:30;2019-04-02 06:46:51;78%;7:54;;;0;11997
2019-04-02 23:27:43;2019-04-03 06:59:31;87%;7:31;;;0;11492
2019-04-03 22:28:28;2019-04-04 06:40:32;87%;8:12;;;0;11140
2019-04-04 23:26:13;2019-04-05 06:45:59;79%;7:19;;;0;10246
2019-04-05 22:58:56;2019-04-06 07:16:19;86%;8:17;;;0;3538
